doesHaveLinks,doesHaveSpammyWords,lengthOfText,numberOfSymbols,numberOfWordsContainingLettersAndNumbers,numberOfWordsContainingOnlyLetters,numberOfWordsContainingOnlyUppercaseLetters,class label
False,False,23,2,0,4,1,ham
False,False,65,2,0,11,1,ham
False,False,24,2,0,3,0,ham
False,False,26,1,0,3,0,ham
False,False,152,7,0,25,0,ham
False,False,34,1,0,6,0,ham
False,True,149,2,3,17,2,spam
False,False,55,1,0,12,0,ham
False,False,88,5,0,16,2,ham
True,True,72,5,1,6,0,spam
False,False,185,8,0,31,0,ham
False,False,37,4,0,4,0,ham
False,False,111,2,0,20,1,ham
False,False,92,3,1,15,0,ham
False,False,28,0,0,7,0,ham
False,False,28,0,0,6,0,ham
False,False,64,2,1,11,0,ham
False,False,131,5,0,26,1,ham
False,False,40,8,0,4,1,ham
False,False,28,5,0,4,1,ham
False,False,84,0,0,18,0,ham
False,False,174,16,0,20,3,ham
False,False,24,1,0,2,0,ham
False,False,25,1,0,5,1,ham
False,False,64,3,0,12,1,ham
False,False,156,13,0,23,3,ham
False,False,28,1,0,4,0,ham
False,False,86,4,0,12,0,ham
False,False,39,3,0,7,0,ham
False,False,73,4,0,10,0,ham
False,False,26,0,0,6,0,ham
False,False,23,7,0,0,0,ham
False,False,24,7,0,2,1,ham
False,False,31,2,0,4,0,ham
False,False,58,1,0,8,0,ham
False,False,48,3,0,6,1,ham
False,False,41,3,0,5,0,ham
False,False,32,0,0,7,1,ham
False,False,159,5,0,30,1,ham
False,False,25,2,0,4,0,ham
False,False,161,5,0,28,0,ham
False,False,22,2,0,2,0,ham
False,False,119,6,0,22,2,ham
True,True,143,11,4,9,4,spam
False,False,69,2,0,11,0,ham
False,True,137,6,0,22,3,spam
False,False,30,1,0,4,0,ham
False,False,165,12,0,19,0,ham
False,False,34,0,0,8,0,ham
False,False,109,7,0,17,0,ham
False,False,37,0,0,8,0,ham
False,False,33,2,0,4,0,ham
False,False,48,4,0,6,0,ham
False,True,157,8,1,24,5,spam
False,False,50,6,0,7,1,ham
False,False,65,0,0,15,0,ham
False,False,38,2,0,5,0,ham
False,False,145,14,0,16,2,ham
False,True,145,3,0,19,2,spam
False,False,51,1,0,9,0,ham
False,False,45,0,0,7,6,ham
False,False,83,5,0,11,0,ham
False,False,155,9,0,24,0,ham
False,False,37,2,0,4,1,ham
False,False,78,3,0,14,2,ham
False,False,30,0,0,8,1,ham
False,False,31,1,1,4,0,ham
False,False,146,5,0,25,0,ham
True,True,150,3,2,16,2,spam
False,False,44,0,1,7,0,ham
False,False,179,11,0,28,0,ham
False,False,27,2,0,3,0,ham
False,False,179,3,2,33,0,ham
False,False,38,3,0,4,0,ham
False,False,97,2,0,16,0,ham
False,False,43,3,0,9,0,ham
False,False,36,4,0,7,1,ham
False,True,154,4,0,21,3,spam
False,False,74,5,0,12,1,ham
False,False,3,0,0,1,0,ham
False,False,85,4,0,14,0,ham
False,False,51,3,0,7,10,ham
False,True,121,0,1,22,1,spam
False,False,26,1,0,5,0,ham
False,False,35,1,0,6,0,ham
False,False,47,1,0,10,0,ham
False,True,159,7,6,15,5,spam
False,False,47,3,0,6,1,ham
False,True,133,3,0,21,1,spam
False,False,53,2,0,7,0,ham
False,False,147,3,0,26,0,ham
True,True,155,7,1,18,5,spam
False,False,37,1,0,7,1,ham
False,False,31,2,0,4,0,ham
False,False,8,3,0,0,0,ham
False,False,38,0,0,9,0,ham
False,False,30,2,0,5,0,ham
False,False,47,2,0,9,0,ham
False,False,56,3,0,7,0,ham
False,False,22,1,0,4,0,ham
False,False,19,1,0,3,0,ham
False,False,29,1,0,6,1,ham
False,False,7,3,0,0,0,ham
False,False,121,3,0,22,1,ham
False,False,58,1,0,12,2,ham
False,False,4,2,0,0,0,ham
False,False,148,1,0,34,0,ham
False,False,160,14,0,27,3,ham
False,False,152,7,0,14,0,ham
False,False,37,1,0,7,0,ham
False,False,55,2,0,11,1,ham
False,False,21,2,0,2,0,ham
False,False,22,0,0,5,0,ham
False,False,50,2,0,5,1,ham
False,True,159,8,2,21,3,spam
False,False,67,1,0,11,3,ham
False,False,153,11,0,31,9,ham
False,False,51,1,0,10,1,ham
False,False,67,3,0,10,0,ham
False,False,88,2,0,15,2,ham
False,False,157,5,0,26,0,ham
False,False,91,2,0,19,0,ham
False,False,24,0,0,5,0,ham
True,True,146,15,4,14,3,spam
False,False,57,9,0,8,1,ham
False,False,26,1,0,6,0,ham
False,False,71,3,0,11,0,ham
False,True,138,6,0,17,1,spam
False,False,55,2,0,8,0,ham
False,False,156,3,3,19,2,ham
False,True,134,10,4,15,5,spam
False,False,119,3,0,21,0,ham
False,False,142,6,1,26,3,ham
False,False,41,2,0,8,0,ham
False,False,26,4,0,1,0,ham
False,False,119,14,0,17,0,ham
False,False,46,4,0,6,0,ham
False,True,157,4,1,23,1,spam
False,False,23,4,0,2,0,ham
False,False,51,3,0,8,0,ham
False,False,62,6,0,11,0,ham
False,False,107,2,1,23,0,ham
False,False,157,6,0,25,0,ham
False,False,30,2,0,4,0,ham
False,False,32,4,0,2,0,ham
False,False,31,3,0,4,0,ham
False,False,79,4,0,12,0,ham
False,False,32,2,0,4,0,ham
False,False,86,3,0,17,0,ham
False,False,22,5,0,0,0,ham
False,False,76,4,0,12,0,ham
False,True,128,4,0,16,0,spam
False,False,232,4,0,39,1,ham
False,True,159,7,3,19,1,spam
False,False,45,4,0,7,1,ham
False,False,57,2,0,9,0,ham
False,False,26,2,0,2,0,ham
False,False,22,2,0,2,0,ham
False,False,41,4,0,6,1,ham
False,False,28,2,0,4,0,ham
False,False,151,4,1,26,1,ham
False,False,29,1,0,4,0,ham
False,False,34,1,0,6,0,ham
False,False,52,1,0,8,0,ham
False,False,33,7,0,2,0,ham
False,False,85,4,0,16,1,ham
False,False,31,1,0,4,0,ham
False,True,111,8,0,13,4,spam
False,False,78,2,0,13,0,ham
False,False,50,3,0,7,0,ham
False,False,63,2,0,13,0,ham
False,False,148,7,0,24,5,ham
False,False,129,1,0,27,1,ham
False,False,45,7,0,4,6,ham
False,False,202,7,0,29,1,ham
True,True,150,3,2,16,2,spam
False,True,148,9,3,12,2,spam
False,False,168,10,0,21,1,ham
False,False,85,5,0,12,1,ham
False,False,38,7,0,5,0,ham
False,False,15,2,0,3,0,ham
False,False,31,1,0,4,0,ham
False,False,88,5,0,13,1,ham
False,False,160,8,0,28,1,ham
False,False,50,2,0,10,1,ham
False,True,165,11,2,12,1,spam
True,True,129,6,1,12,1,spam
False,False,26,2,0,3,0,ham
False,False,31,2,0,4,0,ham
False,False,129,9,0,24,4,ham
False,False,34,2,0,8,1,ham
False,False,54,8,0,7,0,ham
False,False,162,1,0,36,1,ham
False,True,157,3,1,21,2,spam
False,False,23,0,0,5,0,ham
False,False,53,6,0,6,0,ham
False,False,131,3,0,23,0,ham
False,False,36,0,0,7,0,ham
False,False,143,5,0,23,1,ham
False,False,300,14,0,43,1,ham
False,False,59,1,0,11,0,ham
False,False,42,5,0,6,0,ham
False,False,41,4,0,8,0,ham
False,True,149,4,3,14,1,spam
False,False,22,0,0,5,0,ham
False,False,31,1,0,5,0,ham
False,False,30,0,0,7,0,ham
False,True,155,4,3,17,1,spam
False,False,47,3,0,7,1,ham
False,False,25,4,0,3,0,ham
False,False,80,2,0,14,0,ham
False,False,22,1,0,4,0,ham
False,False,115,2,0,26,2,ham
False,False,56,3,1,9,0,ham
False,False,102,3,0,14,0,ham
False,False,118,4,1,22,0,ham
False,False,221,6,0,37,0,ham
False,False,204,11,0,20,0,ham
False,False,114,11,0,13,0,ham
False,True,158,3,2,21,4,spam
False,False,39,1,0,8,0,ham
False,False,36,1,0,6,0,ham
False,False,48,1,0,8,0,ham
False,False,77,6,0,11,0,ham
False,False,60,1,0,13,1,ham
False,False,168,6,0,26,0,ham
False,False,51,3,0,6,0,ham
False,False,22,0,0,3,0,ham
False,False,152,9,0,13,1,ham
False,False,75,0,0,17,0,ham
False,False,30,0,0,8,0,ham
False,False,95,12,0,14,0,ham
False,False,24,1,0,4,1,ham
False,True,49,1,1,2,0,spam
False,False,35,1,0,6,0,ham
False,False,29,0,0,7,0,ham
True,True,107,5,1,12,4,spam
False,False,66,3,0,11,0,ham
False,True,159,3,4,20,7,spam
False,False,48,4,0,5,0,ham
False,True,162,2,1,23,0,spam
False,False,24,3,0,4,0,ham
False,True,137,4,2,15,2,spam
False,False,248,30,9,17,0,ham
False,False,25,3,0,3,1,ham
False,False,27,4,0,2,0,ham
False,False,37,1,0,6,0,ham
False,False,69,5,0,12,1,ham
False,False,150,17,0,20,2,ham
False,False,24,1,0,4,0,ham
False,False,80,0,0,15,0,ham
False,True,157,2,4,17,2,spam
False,False,25,1,0,3,0,ham
False,False,73,9,0,7,0,ham
False,False,89,17,0,10,0,ham
False,False,58,2,0,10,0,ham
False,False,36,0,0,6,0,ham
False,False,76,3,0,11,1,ham
False,False,47,2,0,9,1,ham
False,False,104,8,0,12,0,ham
False,False,38,4,0,7,1,ham
False,False,69,9,0,14,2,ham
False,False,22,2,0,2,0,ham
False,False,66,2,0,7,9,ham
False,False,94,6,0,13,1,ham
False,False,70,6,0,6,0,ham
False,False,73,3,0,13,1,ham
False,False,42,4,0,7,1,ham
False,False,17,3,0,2,0,ham
False,False,13,1,0,1,0,ham
False,False,45,0,0,10,0,ham
False,False,57,6,0,6,0,ham
False,False,105,2,0,19,0,ham
False,True,164,9,2,18,0,spam
False,False,47,2,0,8,1,ham
False,False,117,3,0,22,23,ham
False,False,158,3,0,25,1,ham
False,False,79,6,0,11,0,ham
False,False,142,3,0,19,0,ham
False,False,62,1,0,14,0,ham
False,False,71,2,0,11,0,ham
False,True,175,8,1,19,3,spam
False,False,29,2,0,4,0,ham
False,False,29,0,0,8,0,ham
False,False,148,11,0,20,2,ham
False,False,83,2,0,14,0,ham
False,False,37,1,0,7,0,ham
False,False,44,4,0,5,0,ham
False,False,45,2,0,6,0,ham
False,True,161,5,3,18,3,spam
False,False,50,2,0,7,0,ham
False,False,298,18,1,41,1,ham
False,True,159,7,3,19,1,spam
False,False,125,10,1,20,2,ham
False,False,51,1,0,10,0,ham
False,False,28,4,0,3,0,ham
False,False,34,3,0,1,0,ham
False,False,46,3,1,6,2,ham
False,False,81,2,0,13,1,ham
False,False,28,1,0,6,0,ham
False,False,90,3,0,14,0,ham
False,False,18,3,0,2,0,ham
False,False,54,4,0,9,1,ham
False,False,55,0,0,9,0,ham
False,False,45,1,0,9,0,ham
True,True,146,4,1,19,4,spam
False,False,40,1,0,6,0,ham
False,False,107,4,0,17,0,ham
False,False,50,2,0,9,1,ham
False,False,120,2,0,24,2,ham
False,True,160,12,4,13,3,spam
False,False,32,2,0,3,0,ham
False,False,34,6,0,3,0,ham
False,False,32,2,0,5,0,ham
False,False,16,4,0,1,0,ham
False,False,67,6,0,12,0,ham
False,False,55,2,0,9,0,ham
False,False,43,2,1,5,0,ham
False,False,23,0,0,5,0,ham
False,False,149,4,1,30,0,ham
False,False,21,2,0,3,1,ham
False,False,23,1,0,2,0,ham
False,False,40,5,0,6,1,ham
False,True,170,7,3,17,1,spam
False,False,117,5,0,20,0,ham
False,False,62,2,0,9,0,ham
False,False,166,12,0,24,1,ham
False,False,24,2,0,1,0,ham
False,False,136,12,0,15,0,ham
False,False,99,2,0,20,0,ham
False,False,45,8,0,2,0,ham
False,False,23,2,0,4,0,ham
False,False,25,4,0,2,0,ham
False,True,148,7,5,15,3,spam
False,False,26,3,0,2,0,ham
False,True,146,7,2,22,5,spam
True,True,89,5,0,12,0,spam
False,False,168,5,0,30,0,ham
False,False,117,3,0,17,0,ham
False,False,46,2,0,7,0,ham
False,False,26,0,0,6,0,ham
False,False,28,0,0,6,0,ham
False,False,32,3,0,3,0,ham
False,True,145,10,3,16,3,spam
False,False,57,4,0,9,0,ham
False,True,160,10,2,15,3,spam
False,False,42,2,0,7,0,ham
False,True,111,1,1,18,1,spam
False,False,36,2,0,4,0,ham
False,True,146,8,0,9,2,spam
False,False,50,7,0,3,0,ham
False,False,33,7,0,2,0,ham
False,False,15,4,0,1,0,ham
False,False,177,6,1,31,1,ham
False,False,160,5,0,29,2,ham
False,False,63,4,0,10,0,ham
False,False,84,2,0,15,0,ham
False,False,84,2,0,14,2,ham
False,False,57,2,0,10,1,ham
True,True,96,6,4,4,0,spam
False,False,169,15,0,22,2,ham
False,False,76,4,0,13,0,ham
False,False,47,2,0,8,0,ham
False,False,130,3,0,23,0,ham
False,False,23,1,0,3,0,ham
False,False,149,3,0,29,2,ham
False,False,32,1,0,6,0,ham
False,False,22,7,0,1,0,ham
False,False,101,4,0,17,3,ham
False,False,281,9,0,51,2,ham
False,False,54,3,0,6,0,ham
False,False,120,2,0,19,1,ham
False,False,138,4,0,26,0,ham
False,False,135,1,0,23,0,ham
False,False,66,2,0,8,1,ham
False,False,40,4,0,4,0,ham
False,False,40,1,0,7,1,ham
False,False,70,4,0,10,0,ham
False,False,160,19,0,25,3,ham
False,False,26,5,0,3,0,ham
False,False,32,4,0,4,0,ham
False,False,51,3,0,11,2,ham
False,True,160,6,4,18,3,spam
False,False,146,16,0,26,4,ham
False,False,103,2,1,18,0,ham
False,False,45,2,0,7,1,ham
False,False,142,7,0,27,2,ham
False,False,92,3,0,16,1,ham
False,False,26,1,0,5,6,ham
False,False,134,9,0,23,1,ham
False,False,37,0,0,8,0,ham
False,False,22,1,0,4,0,ham
False,False,22,1,0,3,0,ham
False,False,33,3,0,5,0,ham
False,True,69,6,1,7,0,spam
False,False,109,5,0,18,0,ham
False,False,36,2,0,8,1,ham
False,True,100,2,1,17,0,spam
False,False,140,5,0,24,0,ham
False,False,51,4,0,6,1,ham
False,False,46,0,0,10,0,ham
False,True,149,0,0,26,0,spam
False,False,63,3,0,11,0,ham
False,False,95,4,0,13,1,ham
False,False,69,1,0,14,0,ham
False,False,110,12,0,17,1,ham
False,False,53,2,0,7,0,ham
False,False,27,0,0,6,0,ham
False,False,34,2,0,6,0,ham
True,True,127,11,3,12,2,spam
False,True,142,7,1,16,2,spam
False,True,148,9,0,8,4,spam
False,False,24,1,0,4,0,ham
False,False,147,9,0,23,1,ham
False,False,24,2,0,4,1,ham
False,False,29,0,0,7,0,ham
False,True,86,2,0,8,1,spam
False,False,87,3,0,14,0,ham
False,False,38,3,0,5,0,ham
False,False,104,8,0,13,0,ham
False,False,59,4,0,9,0,ham
False,False,38,1,0,7,0,ham
False,False,38,1,0,7,1,ham
False,False,22,3,0,3,0,ham
False,False,25,0,0,6,0,ham
False,True,135,8,1,9,12,spam
False,False,87,0,0,18,1,ham
False,False,19,3,0,2,0,ham
False,False,66,4,0,10,0,ham
False,True,140,2,1,25,4,spam
False,False,156,9,0,24,0,ham
False,False,22,0,0,4,1,ham
False,False,107,1,1,21,23,ham
False,False,65,3,0,11,1,ham
False,False,147,6,1,23,1,ham
False,False,137,4,0,24,0,ham
False,False,25,2,0,3,0,ham
False,False,60,7,0,9,2,ham
False,False,103,3,0,16,0,ham
False,False,37,5,0,6,0,ham
False,False,58,5,0,9,0,ham
False,False,87,1,0,15,16,ham
False,False,58,4,0,9,0,ham
False,False,123,3,0,19,0,ham
False,False,67,2,1,11,0,ham
False,False,66,1,0,14,0,ham
False,False,102,2,0,20,0,ham
False,True,130,2,1,19,3,spam
False,True,150,2,2,19,0,spam
False,False,35,1,0,7,0,ham
False,False,8,1,0,1,0,ham
False,False,62,1,0,12,1,ham
False,False,58,2,0,8,1,ham
True,True,143,13,1,15,2,spam
False,False,20,3,0,4,0,ham
False,False,100,3,0,16,0,ham
False,False,51,6,0,6,2,ham
False,False,36,2,0,6,0,ham
False,False,53,1,0,10,1,ham
False,False,88,3,0,12,0,ham
False,False,133,7,0,20,0,ham
False,False,36,0,0,8,0,ham
False,False,37,3,0,5,0,ham
False,False,127,3,0,21,1,ham
False,False,92,8,0,11,0,ham
False,False,80,2,0,15,1,ham
False,True,136,9,0,8,4,spam
False,False,35,2,0,6,1,ham
False,True,97,11,4,7,4,spam
False,False,66,4,0,8,0,ham
False,False,119,6,0,17,1,ham
False,False,65,3,0,11,1,ham
False,False,26,1,0,5,0,ham
False,False,28,0,0,6,0,ham
False,False,45,1,0,6,0,ham
False,False,157,4,0,33,3,ham
False,False,36,0,0,9,0,ham
False,False,94,3,0,15,0,ham
False,True,59,0,0,6,0,spam
False,False,140,11,0,19,0,ham
False,False,22,2,0,2,0,ham
False,False,57,7,0,7,1,ham
False,False,43,9,0,5,0,ham
False,False,61,3,0,11,0,ham
False,False,56,4,0,6,0,ham
False,False,54,1,0,11,0,ham
False,False,37,6,0,3,0,ham
False,False,25,1,0,4,0,ham
False,False,21,1,0,4,0,ham
False,False,36,2,0,7,0,ham
False,True,42,3,1,4,1,spam
False,True,154,3,3,23,6,spam
False,False,153,7,0,23,1,ham
False,False,46,8,0,6,1,ham
False,False,34,3,0,6,1,ham
False,False,80,4,0,12,0,ham
False,False,69,8,0,7,1,ham
False,False,24,1,0,4,0,ham
False,False,108,6,0,16,1,ham
False,False,46,4,0,6,0,ham
False,False,30,2,1,3,1,ham
False,False,22,1,0,4,0,ham
False,True,158,9,3,22,5,spam
False,False,87,3,0,16,2,ham
False,False,30,3,0,4,0,ham
False,False,143,4,1,25,7,ham
False,False,169,6,0,24,0,ham
False,False,42,2,0,7,0,ham
False,True,111,3,1,11,1,spam
False,False,18,1,0,3,0,ham
False,False,109,8,1,13,0,ham
False,False,76,3,0,12,0,ham
False,False,73,2,0,14,0,ham
False,False,92,1,0,20,0,ham
False,False,36,2,0,4,1,ham
False,False,54,3,0,7,0,ham
False,False,78,2,0,14,1,ham
False,False,30,4,0,5,1,ham
False,False,40,4,0,7,0,ham
False,False,29,2,0,5,1,ham
False,False,22,2,0,2,0,ham
False,False,77,0,0,13,0,ham
False,False,109,6,0,18,0,ham
False,False,75,7,0,11,0,ham
False,False,76,2,0,15,2,ham
False,False,30,0,0,7,0,ham
False,False,49,6,0,7,0,ham
True,True,155,6,0,20,2,spam
False,True,160,6,3,17,1,spam
False,False,269,12,0,43,0,ham
False,False,195,0,0,40,0,ham
False,True,37,1,2,2,0,spam
False,False,125,3,0,21,0,ham
False,False,48,2,0,9,1,ham
False,False,39,1,0,8,0,ham
False,True,163,7,6,10,4,spam
False,False,121,9,1,18,2,ham
False,True,147,2,3,19,1,spam
False,False,162,4,0,24,2,ham
False,False,29,1,0,6,0,ham
False,False,38,4,0,4,0,ham
False,False,25,1,0,4,0,ham
False,False,40,0,0,8,0,ham
False,False,226,10,0,32,0,ham
False,False,70,5,0,10,0,ham
False,False,140,13,0,29,2,ham
False,False,47,1,1,7,0,ham
False,False,63,2,0,10,0,ham
False,False,17,1,0,4,0,ham
False,True,101,4,1,8,0,spam
False,False,41,3,0,6,0,ham
False,False,80,2,0,17,2,ham
False,False,137,4,0,24,0,ham
False,False,103,3,0,14,0,ham
False,False,29,0,0,7,0,ham
False,False,51,2,0,7,1,ham
False,True,149,9,4,13,5,spam
False,False,25,1,0,5,0,ham
False,False,149,7,0,26,2,ham
False,False,38,2,0,7,0,ham
False,False,62,4,0,9,0,ham
False,False,181,8,0,32,1,ham
False,False,34,2,0,6,0,ham
False,False,47,2,0,7,0,ham
False,False,40,2,0,7,0,ham
False,False,110,5,0,18,2,ham
False,True,132,1,1,21,3,spam
False,False,101,2,0,19,0,ham
False,False,42,1,0,8,0,ham
False,True,102,3,0,14,0,spam
False,True,65,1,0,8,1,spam
False,False,27,0,0,5,0,ham
False,False,31,0,0,7,0,ham
False,False,82,6,0,11,0,ham
False,False,23,1,0,4,0,ham
False,False,59,2,0,12,0,ham
False,False,133,5,0,12,0,ham
False,False,33,0,0,6,1,ham
False,False,95,4,0,14,1,ham
False,True,96,5,2,7,0,spam
False,False,135,6,0,22,1,ham
False,True,161,5,4,9,2,spam
False,False,151,12,0,28,0,ham
False,False,73,4,0,12,3,ham
False,True,151,5,3,16,4,spam
False,False,103,10,0,13,0,ham
False,False,22,2,0,2,0,ham
False,False,51,1,0,10,1,ham
False,False,137,6,0,18,1,ham
False,False,58,1,0,9,0,ham
False,False,89,5,0,12,1,ham
False,False,81,1,0,17,0,ham
False,False,57,6,0,9,1,ham
False,False,26,2,0,2,0,ham
False,False,32,1,0,5,0,ham
False,False,145,2,0,27,0,ham
False,False,120,4,0,23,1,ham
False,False,143,3,0,24,1,ham
False,False,23,0,0,5,0,ham
False,False,136,12,0,15,0,ham
False,False,94,11,0,15,2,ham
False,False,8,1,0,0,0,ham
False,True,99,2,0,10,2,spam
False,False,65,1,1,10,0,ham
False,False,71,3,0,11,0,ham
False,False,117,3,0,21,0,ham
False,True,129,5,1,20,2,spam
False,True,158,6,1,18,1,spam
False,False,28,0,0,7,0,ham
False,False,150,4,0,25,0,ham
False,False,31,3,0,6,0,ham
False,False,72,11,0,9,11,ham
False,False,70,3,0,11,3,ham
False,False,94,6,0,10,0,ham
False,False,48,2,0,6,0,ham
False,True,160,8,1,18,3,spam
False,False,96,2,0,15,0,ham
False,False,31,1,1,7,0,ham
False,False,41,7,0,4,0,ham
False,True,154,9,4,14,4,spam
False,False,71,7,0,11,1,ham
True,True,162,7,4,18,3,spam
False,True,143,4,4,18,4,spam
False,False,25,2,0,4,1,ham
False,False,22,0,1,5,1,ham
False,False,48,2,0,8,0,ham
False,False,33,2,0,4,0,ham
False,False,44,0,0,11,1,ham
False,False,47,4,0,7,1,ham
False,False,26,10,0,0,0,ham
False,False,112,4,0,17,0,ham
True,True,150,3,3,17,2,spam
False,False,19,1,0,4,1,ham
False,True,133,5,1,15,4,spam
False,False,48,6,0,5,1,ham
